sentence_id, token, label

1,Tôi,O
1,bị,O
1,đau,B-SYMPTOM
1,đầu,I-SYMPTOM
1,và,O
1,sốt,B-SYMPTOM
1,nhẹ,I-SYMPTOM

2,Mấy,O
2,hôm,O
2,nay,O
2,tôi,O
2,ho,B-SYMPTOM
2,khan,I-SYMPTOM
2,và,O
2,đau,B-SYMPTOM
2,họng,I-SYMPTOM

3,Tôi,O
3,bị,O
3,sổ,B-SYMPTOM
3,mũi,I-SYMPTOM
3,và,O
3,nghẹt,B-SYMPTOM
3,mũi,I-SYMPTOM
3,mấy,O
3,ngày,O
3,nay,O

4,Cơ,O
4,thể,O
4,tôi,O
4,rất,O
4,mệt,B-SYMPTOM
4,mỏi,I-SYMPTOM
4,và,O
4,uể,B-SYMPTOM
4,oải,I-SYMPTOM


5,Tôi,O
5,có,O
5,triệu,O
5,chứng,O
5,ớn,B-SYMPTOM
5,lạnh,I-SYMPTOM
5,và,O
5,đau,B-SYMPTOM
5,nhức,I-SYMPTOM
5,toàn,I-SYMPTOM
5,thân,I-SYMPTOM

6,Sốt,B-SYMPTOM
6,cao,I-SYMPTOM
6,và,O
6,ho,B-SYMPTOM
6,có,O
6,phải,O
6,là,O
6,triệu,O
6,chứng,O
6,của,O
6,bệnh,O
6,cảm,B-DISEASE
6,cúm,I-DISEASE
6,không,O

7,Cháu,O
7,nhà,O
7,tôi,O
7,bị,O
7,chảy,B-SYMPTOM
7,nước,I-SYMPTOM
7,mũi,I-SYMPTOM
7,liên,O
7,tục,O

8,Ngoài,O
8,đau,B-SYMPTOM
8,họng,I-SYMPTOM
8,tôi,O
8,còn,O
8,bị,O
8,mất,B-SYMPTOM
8,vị,I-SYMPTOM
8,giác,I-SYMPTOM

9,Tôi,O
9,cảm,O
9,thấy,O
9,mệt,B-SYMPTOM
9,mỏi,I-SYMPTOM
9,và,O
9,buồn,B-SYMPTOM
9,nôn,I-SYMPTOM

10,Con,O
10,tôi,O
10,bị,O
10,sốt,B-SYMPTOM
10,cao,I-SYMPTOM
10,và,O
10,rét,B-SYMPTOM
10,run,I-SYMPTOM

11,Triệu,O
11,chứng,O
11,hắt,B-SYMPTOM
11,hơi,I-SYMPTOM
11,và,O
11,chảy,B-SYMPTOM
11,nước,I-SYMPTOM
11,mũi,I-SYMPTOM
11,là,O
11,dấu,O
11,hiệu,O
11,cảm,B-DISEASE
11,lạnh,I-DISEASE
11,đúng,O
11,không,O

12,Tôi,O
12,bị,O
12,ho,B-SYMPTOM
12,có,I-SYMPTOM
12,đờm,I-SYMPTOM
12,đã,O
12,3,O
12,ngày,O

13,Cổ,O
13,họng,O
13,tôi,O
13,đau,B-SYMPTOM
13,rát,I-SYMPTOM
13,khi,O
13,nuốt,O

14,Sáng,O
14,nay,O
14,tôi,O
14,thức,O
14,dậy,O
14,thấy,O
14,đau,B-SYMPTOM
14,nhức,I-SYMPTOM
14,cơ,I-SYMPTOM
14,bắp,I-SYMPTOM

15,Tôi,O
15,bị,O
15,nghẹt,B-SYMPTOM
15,mũi,I-SYMPTOM
15,nặng,O
15,và,O
15,khó,B-SYMPTOM
15,thở,I-SYMPTOM

16,Tôi,O
16,không,O
16,sốt,B-SYMPTOM
16,nhưng,O
16,rất,O
16,mệt,B-SYMPTOM

17,Em,O
17,bé,O
17,bị,O
17,sổ,B-SYMPTOM
17,mũi,I-SYMPTOM
17,và,O
17,ho,B-SYMPTOM
17,nhẹ,I-SYMPTOM

18,Tôi,O
18,bị,O
18,cảm,B-DISEASE
18,lạnh,I-DISEASE
18,và,O
18,sốt,B-SYMPTOM
18,cao,I-SYMPTOM

19,Đau,B-SYMPTOM
19,cơ,I-SYMPTOM
19,và,O
19,sốt,B-SYMPTOM
19,là,O
19,triệu,O
19,chứng,O
19,của,O
19,bệnh,B-DISEASE
19,nào,I-DISEASE

20,Tôi,O
20,bị,O
20,đau,B-SYMPTOM
20,đầu,I-SYMPTOM
20,dữ,O
20,dội,O
20,và,O
20,buồn,B-SYMPTOM
20,nôn,I-SYMPTOM